上映ID,作品ID,作品名,スクリーンID,上映日,開始時刻,終了時刻,レイトショー,曜日種別,特別日
S04842,M0065,この素晴らしい世界に祝福を！3 BONUS…,7,2025-03-22,21:10,23:10,True,土日祝,
S04843,M0074,知らないカノジョ,8,2025-03-22,09:30,11:30,False,土日祝,
S04844,M0006,ヒプノシスマイク -Division Rap Battle-,8,2025-03-22,12:00,14:00,False,土日祝,
S04845,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-22,14:30,16:30,False,土日祝,
S04846,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-22,17:00,19:00,False,土日祝,
S04847,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-22,19:00,21:00,False,土日祝,
S04848,M0048,お嬢と番犬くん,8,2025-03-22,21:10,23:10,True,土日祝,
S04849,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-22,09:30,11:30,False,土日祝,
S04850,M0027,劇場版『トリリオンゲーム』,9,2025-03-22,12:00,14:00,False,土日祝,
S04851,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-22,14:30,16:30,False,土日祝,
S04852,M0027,劇場版『トリリオンゲーム』,9,2025-03-22,17:00,19:00,False,土日祝,
S04853,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-22,19:00,21:00,False,土日祝,
S04854,M0036,35年目のラブレター,9,2025-03-22,21:10,23:10,True,土日祝,
S04855,M0048,お嬢と番犬くん,10,2025-03-22,09:30,11:30,False,土日祝,
S04856,M0027,劇場版『トリリオンゲーム』,10,2025-03-22,12:00,14:00,False,土日祝,
S04857,M0048,お嬢と番犬くん,10,2025-03-22,14:30,16:30,False,土日祝,
S04858,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-22,17:00,19:00,False,土日祝,
S04859,M0027,劇場版『トリリオンゲーム』,10,2025-03-22,19:00,21:00,False,土日祝,
S04860,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-22,21:10,23:10,True,土日祝,
S04861,M0036,35年目のラブレター,1,2025-03-23,09:30,11:30,False,土日祝,
S04862,M0036,35年目のラブレター,1,2025-03-23,12:00,14:00,False,土日祝,
S04863,M0065,この素晴らしい世界に祝福を！3 BONUS…,1,2025-03-23,14:30,16:30,False,土日祝,
S04864,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-23,17:00,19:00,False,土日祝,
S04865,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-23,19:00,21:00,False,土日祝,
S04866,M0036,35年目のラブレター,1,2025-03-23,21:10,23:10,True,土日祝,
S04867,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-23,09:30,11:30,False,土日祝,
S04868,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-23,12:00,14:00,False,土日祝,
S04869,M0048,お嬢と番犬くん,2,2025-03-23,14:30,16:30,False,土日祝,
S04870,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-23,17:00,19:00,False,土日祝,
S04871,M0027,劇場版『トリリオンゲーム』,2,2025-03-23,19:00,21:00,False,土日祝,
S04872,M0009,映画ドラえもん のび太の絵世界物語,2,2025-03-23,21:10,23:10,True,土日祝,
S04873,M0048,お嬢と番犬くん,3,2025-03-23,09:30,11:30,False,土日祝,
S04874,M0006,ヒプノシスマイク -Division Rap Battle-,3,2025-03-23,12:00,14:00,False,土日祝,
S04875,M0074,知らないカノジョ,3,2025-03-23,14:30,16:30,False,土日祝,
S04876,M0074,知らないカノジョ,3,2025-03-23,17:00,19:00,False,土日祝,
S04877,M0074,知らないカノジョ,3,2025-03-23,19:00,21:00,False,土日祝,
S04878,M0042,(吹替)ウィキッド ふたりの魔女,3,2025-03-23,21:10,23:10,True,土日祝,
S04879,M0018,ファーストキス 1ST KISS,4,2025-03-23,09:30,11:30,False,土日祝,
S04880,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-23,12:00,14:00,False,土日祝,
S04881,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-23,14:30,16:30,False,土日祝,
S04882,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-23,17:00,19:00,False,土日祝,
S04883,M0018,ファーストキス 1ST KISS,4,2025-03-23,19:00,21:00,False,土日祝,
S04884,M0019,(字幕)ウィキッド ふたりの魔女,4,2025-03-23,21:10,23:10,True,土日祝,
S04885,M0048,お嬢と番犬くん,5,2025-03-23,09:30,11:30,False,土日祝,
S04886,M0048,お嬢と番犬くん,5,2025-03-23,12:00,14:00,False,土日祝,
S04887,M0027,劇場版『トリリオンゲーム』,5,2025-03-23,14:30,16:30,False,土日祝,
S04888,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-23,17:00,19:00,False,土日祝,
S04889,M0027,劇場版『トリリオンゲーム』,5,2025-03-23,19:00,21:00,False,土日祝,
S04890,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-23,21:10,23:10,True,土日祝,
S04891,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-23,09:30,11:30,False,土日祝,
S04892,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-23,12:00,14:00,False,土日祝,
S04893,M0036,35年目のラブレター,6,2025-03-23,14:30,16:30,False,土日祝,
S04894,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-23,17:00,19:00,False,土日祝,
S04895,M0018,ファーストキス 1ST KISS,6,2025-03-23,19:00,21:00,False,土日祝,
S04896,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-23,21:10,23:10,True,土日祝,
S04897,M0036,35年目のラブレター,7,2025-03-23,09:30,11:30,False,土日祝,
S04898,M0018,ファーストキス 1ST KISS,7,2025-03-23,12:00,14:00,False,土日祝,
S04899,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-23,14:30,16:30,False,土日祝,
S04900,M0065,この素晴らしい世界に祝福を！3 BONUS…,7,2025-03-23,17:00,19:00,False,土日祝,
S04901,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-23,19:00,21:00,False,土日祝,
S04902,M0018,ファーストキス 1ST KISS,7,2025-03-23,21:10,23:10,True,土日祝,
S04903,M0074,知らないカノジョ,8,2025-03-23,09:30,11:30,False,土日祝,
S04904,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-23,12:00,14:00,False,土日祝,
S04905,M0048,お嬢と番犬くん,8,2025-03-23,14:30,16:30,False,土日祝,
S04906,M0006,ヒプノシスマイク -Division Rap Battle-,8,2025-03-23,17:00,19:00,False,土日祝,
S04907,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-23,19:00,21:00,False,土日祝,
S04908,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-23,21:10,23:10,True,土日祝,
S04909,M0027,劇場版『トリリオンゲーム』,9,2025-03-23,09:30,11:30,False,土日祝,
S04910,M0036,35年目のラブレター,9,2025-03-23,12:00,14:00,False,土日祝,
S04911,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-23,14:30,16:30,False,土日祝,
S04912,M0027,劇場版『トリリオンゲーム』,9,2025-03-23,17:00,19:00,False,土日祝,
S04913,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-23,19:00,21:00,False,土日祝,
S04914,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-23,21:10,23:10,True,土日祝,
S04915,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-23,09:30,11:30,False,土日祝,
S04916,M0048,お嬢と番犬くん,10,2025-03-23,12:00,14:00,False,土日祝,
S04917,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-23,14:30,16:30,False,土日祝,
S04918,M0048,お嬢と番犬くん,10,2025-03-23,17:00,19:00,False,土日祝,
S04919,M0027,劇場版『トリリオンゲーム』,10,2025-03-23,19:00,21:00,False,土日祝,
S04920,M0027,劇場版『トリリオンゲーム』,10,2025-03-23,21:10,23:10,True,土日祝,
S04921,M0065,この素晴らしい世界に祝福を！3 BONUS…,1,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04922,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04923,M0036,35年目のラブレター,1,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04924,M0036,35年目のラブレター,1,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04925,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04926,M0036,35年目のラブレター,1,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04927,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04928,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04929,M0027,劇場版『トリリオンゲーム』,2,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04930,M0048,お嬢と番犬くん,2,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04931,M0009,映画ドラえもん のび太の絵世界物語,2,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04932,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04933,M0074,知らないカノジョ,3,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04934,M0006,ヒプノシスマイク -Division Rap Battle-,3,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04935,M0048,お嬢と番犬くん,3,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04936,M0074,知らないカノジョ,3,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04937,M0074,知らないカノジョ,3,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04938,M0042,(吹替)ウィキッド ふたりの魔女,3,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04939,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04940,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04941,M0019,(字幕)ウィキッド ふたりの魔女,4,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04942,M0018,ファーストキス 1ST KISS,4,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04943,M0018,ファーストキス 1ST KISS,4,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04944,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04945,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04946,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04947,M0048,お嬢と番犬くん,5,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04948,M0048,お嬢と番犬くん,5,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04949,M0027,劇場版『トリリオンゲーム』,5,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04950,M0027,劇場版『トリリオンゲーム』,5,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04951,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04952,M0036,35年目のラブレター,6,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04953,M0018,ファーストキス 1ST KISS,6,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04954,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04955,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04956,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04957,M0018,ファーストキス 1ST KISS,7,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04958,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04959,M0065,この素晴らしい世界に祝福を！3 BONUS…,7,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04960,M0018,ファーストキス 1ST KISS,7,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04961,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04962,M0036,35年目のラブレター,7,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04963,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04964,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04965,M0048,お嬢と番犬くん,8,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04966,M0006,ヒプノシスマイク -Division Rap Battle-,8,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04967,M0074,知らないカノジョ,8,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04968,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04969,M0027,劇場版『トリリオンゲーム』,9,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04970,M0027,劇場版『トリリオンゲーム』,9,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04971,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04972,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04973,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04974,M0036,35年目のラブレター,9,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04975,M0048,お嬢と番犬くん,10,2025-03-24,09:30,11:30,False,平日,メンズデイ
S04976,M0027,劇場版『トリリオンゲーム』,10,2025-03-24,12:00,14:00,False,平日,メンズデイ
S04977,M0048,お嬢と番犬くん,10,2025-03-24,14:30,16:30,False,平日,メンズデイ
S04978,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-24,17:00,19:00,False,平日,メンズデイ
S04979,M0027,劇場版『トリリオンゲーム』,10,2025-03-24,19:00,21:00,False,平日,メンズデイ
S04980,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-24,21:10,23:10,True,平日,メンズデイ
S04981,M0036,35年目のラブレター,1,2025-03-25,09:30,11:30,False,平日,
S04982,M0036,35年目のラブレター,1,2025-03-25,12:00,14:00,False,平日,
S04983,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-25,14:30,16:30,False,平日,
S04984,M0009,映画ドラえもん のび太の絵世界物語,1,2025-03-25,17:00,19:00,False,平日,
S04985,M0036,35年目のラブレター,1,2025-03-25,19:00,21:00,False,平日,
S04986,M0065,この素晴らしい世界に祝福を！3 BONUS…,1,2025-03-25,21:10,23:10,True,平日,
S04987,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-25,09:30,11:30,False,平日,
S04988,M0027,劇場版『トリリオンゲーム』,2,2025-03-25,12:00,14:00,False,平日,
S04989,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-25,14:30,16:30,False,平日,
S04990,M0009,映画ドラえもん のび太の絵世界物語,2,2025-03-25,17:00,19:00,False,平日,
S04991,M0048,お嬢と番犬くん,2,2025-03-25,19:00,21:00,False,平日,
S04992,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-25,21:10,23:10,True,平日,
S04993,M0042,(吹替)ウィキッド ふたりの魔女,3,2025-03-25,09:30,11:30,False,平日,
S04994,M0006,ヒプノシスマイク -Division Rap Battle-,3,2025-03-25,12:00,14:00,False,平日,
S04995,M0048,お嬢と番犬くん,3,2025-03-25,14:30,16:30,False,平日,
S04996,M0074,知らないカノジョ,3,2025-03-25,17:00,19:00,False,平日,
S04997,M0074,知らないカノジョ,3,2025-03-25,19:00,21:00,False,平日,
S04998,M0074,知らないカノジョ,3,2025-03-25,21:10,23:10,True,平日,
S04999,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-25,09:30,11:30,False,平日,
S05000,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-25,12:00,14:00,False,平日,
S05001,M0019,(字幕)ウィキッド ふたりの魔女,4,2025-03-25,14:30,16:30,False,平日,
S05002,M0018,ファーストキス 1ST KISS,4,2025-03-25,17:00,19:00,False,平日,
S05003,M0018,ファーストキス 1ST KISS,4,2025-03-25,19:00,21:00,False,平日,
S05004,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-25,21:10,23:10,True,平日,
S05005,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-25,09:30,11:30,False,平日,
S05006,M0009,映画ドラえもん のび太の絵世界物語,5,2025-03-25,12:00,14:00,False,平日,
S05007,M0027,劇場版『トリリオンゲーム』,5,2025-03-25,14:30,16:30,False,平日,
S05008,M0048,お嬢と番犬くん,5,2025-03-25,17:00,19:00,False,平日,
S05009,M0048,お嬢と番犬くん,5,2025-03-25,19:00,21:00,False,平日,
S05010,M0027,劇場版『トリリオンゲーム』,5,2025-03-25,21:10,23:10,True,平日,
S05011,M0018,ファーストキス 1ST KISS,6,2025-03-25,09:30,11:30,False,平日,
S05012,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-25,12:00,14:00,False,平日,
S05013,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-25,14:30,16:30,False,平日,
S05014,M0036,35年目のラブレター,6,2025-03-25,17:00,19:00,False,平日,
S05015,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-25,19:00,21:00,False,平日,
S05016,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-25,21:10,23:10,True,平日,
S05017,M0018,ファーストキス 1ST KISS,7,2025-03-25,09:30,11:30,False,平日,
S05018,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-25,12:00,14:00,False,平日,
S05019,M0018,ファーストキス 1ST KISS,7,2025-03-25,14:30,16:30,False,平日,
S05020,M0065,この素晴らしい世界に祝福を！3 BONUS…,7,2025-03-25,17:00,19:00,False,平日,
S05021,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-25,19:00,21:00,False,平日,
S05022,M0036,35年目のラブレター,7,2025-03-25,21:10,23:10,True,平日,
S05023,M0048,お嬢と番犬くん,8,2025-03-25,09:30,11:30,False,平日,
S05024,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-25,12:00,14:00,False,平日,
S05025,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-25,14:30,16:30,False,平日,
S05026,M0006,ヒプノシスマイク -Division Rap Battle-,8,2025-03-25,17:00,19:00,False,平日,
S05027,M0074,知らないカノジョ,8,2025-03-25,19:00,21:00,False,平日,
S05028,M0042,(吹替)ウィキッド ふたりの魔女,8,2025-03-25,21:10,23:10,True,平日,
S05029,M0036,35年目のラブレター,9,2025-03-25,09:30,11:30,False,平日,
S05030,M0027,劇場版『トリリオンゲーム』,9,2025-03-25,12:00,14:00,False,平日,
S05031,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-25,14:30,16:30,False,平日,
S05032,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-25,17:00,19:00,False,平日,
S05033,M0027,劇場版『トリリオンゲーム』,9,2025-03-25,19:00,21:00,False,平日,
S05034,M0065,この素晴らしい世界に祝福を！3 BONUS…,9,2025-03-25,21:10,23:10,True,平日,
S05035,M0048,お嬢と番犬くん,10,2025-03-25,09:30,11:30,False,平日,
S05036,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-25,12:00,14:00,False,平日,
S05037,M0027,劇場版『トリリオンゲーム』,10,2025-03-25,14:30,16:30,False,平日,
S05038,M0048,お嬢と番犬くん,10,2025-03-25,17:00,19:00,False,平日,
S05039,M0027,劇場版『トリリオンゲーム』,10,2025-03-25,19:00,21:00,False,平日,
S05040,M0009,映画ドラえもん のび太の絵世界物語,10,2025-03-25,21:10,23:10,True,平日,
S05041,M0027,劇場版『トリリオンゲーム』,1,2025-03-26,09:30,11:30,False,平日,
S05042,M0045,(吹替)白雪姫,1,2025-03-26,12:00,14:00,False,平日,
S05043,M0036,35年目のラブレター,1,2025-03-26,14:30,16:30,False,平日,
S05044,M0045,(吹替)白雪姫,1,2025-03-26,17:00,19:00,False,平日,
S05045,M0006,ヒプノシスマイク -Division Rap Battle-,1,2025-03-26,19:00,21:00,False,平日,
S05046,M0065,この素晴らしい世界に祝福を！3 BONUS…,1,2025-03-26,21:10,23:10,True,平日,
S05047,M0047,アンダーニンジャ,2,2025-03-26,09:30,11:30,False,平日,
S05048,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-26,12:00,14:00,False,平日,
S05049,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-26,14:30,16:30,False,平日,
S05050,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-26,17:00,19:00,False,平日,
S05051,M0065,この素晴らしい世界に祝福を！3 BONUS…,2,2025-03-26,19:00,21:00,False,平日,
S05052,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-26,21:10,23:10,True,平日,
S05053,M0048,お嬢と番犬くん,3,2025-03-26,09:30,11:30,False,平日,
S05054,M0027,劇場版『トリリオンゲーム』,3,2025-03-26,12:00,14:00,False,平日,
S05055,M0036,35年目のラブレター,3,2025-03-26,14:30,16:30,False,平日,
S05056,M0036,35年目のラブレター,3,2025-03-26,17:00,19:00,False,平日,
S05057,M0060,映画『少年と犬』,3,2025-03-26,19:00,21:00,False,平日,
S05058,M0060,映画『少年と犬』,3,2025-03-26,21:10,23:10,True,平日,
S05059,M0018,ファーストキス 1ST KISS,4,2025-03-26,09:30,11:30,False,平日,
S05060,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-26,12:00,14:00,False,平日,
S05061,M0018,ファーストキス 1ST KISS,4,2025-03-26,14:30,16:30,False,平日,
S05062,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-26,17:00,19:00,False,平日,
S05063,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-26,19:00,21:00,False,平日,
S05064,M0019,(字幕)ウィキッド ふたりの魔女,4,2025-03-26,21:10,23:10,True,平日,
S05065,M0169,(字幕)白雪姫,5,2025-03-26,09:30,11:30,False,平日,
S05066,M0042,(吹替)ウィキッド ふたりの魔女,5,2025-03-26,12:00,14:00,False,平日,
S05067,M0042,(吹替)ウィキッド ふたりの魔女,5,2025-03-26,14:30,16:30,False,平日,
S05068,M0169,(字幕)白雪姫,5,2025-03-26,17:00,19:00,False,平日,
S05069,M0047,アンダーニンジャ,5,2025-03-26,19:00,21:00,False,平日,
S05070,M0065,この素晴らしい世界に祝福を！3 BONUS…,5,2025-03-26,21:10,23:10,True,平日,
S05071,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-26,09:30,11:30,False,平日,
S05072,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-26,12:00,14:00,False,平日,
S05073,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-26,14:30,16:30,False,平日,
S05074,M0019,(字幕)ウィキッド ふたりの魔女,6,2025-03-26,17:00,19:00,False,平日,
S05075,M0018,ファーストキス 1ST KISS,6,2025-03-26,19:00,21:00,False,平日,
S05076,M0009,映画ドラえもん のび太の絵世界物語,6,2025-03-26,21:10,23:10,True,平日,
S05077,M0045,(吹替)白雪姫,7,2025-03-26,09:30,11:30,False,平日,
S05078,M0019,(字幕)ウィキッド ふたりの魔女,7,2025-03-26,12:00,14:00,False,平日,
S05079,M0009,映画ドラえもん のび太の絵世界物語,7,2025-03-26,14:30,16:30,False,平日,
S05080,M0018,ファーストキス 1ST KISS,7,2025-03-26,17:00,19:00,False,平日,
S05081,M0045,(吹替)白雪姫,7,2025-03-26,19:00,21:00,False,平日,
S05082,M0045,(吹替)白雪姫,7,2025-03-26,21:10,23:10,True,平日,
S05083,M0027,劇場版『トリリオンゲーム』,8,2025-03-26,09:30,11:30,False,平日,
S05084,M0036,35年目のラブレター,8,2025-03-26,12:00,14:00,False,平日,
S05085,M0036,35年目のラブレター,8,2025-03-26,14:30,16:30,False,平日,
S05086,M0060,映画『少年と犬』,8,2025-03-26,17:00,19:00,False,平日,
S05087,M0048,お嬢と番犬くん,8,2025-03-26,19:00,21:00,False,平日,
S05088,M0027,劇場版『トリリオンゲーム』,8,2025-03-26,21:10,23:10,True,平日,
S05089,M0018,ファーストキス 1ST KISS,9,2025-03-26,09:30,11:30,False,平日,
S05090,M0018,ファーストキス 1ST KISS,9,2025-03-26,12:00,14:00,False,平日,
S05091,M0045,(吹替)白雪姫,9,2025-03-26,14:30,16:30,False,平日,
S05092,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-26,17:00,19:00,False,平日,
S05093,M0018,ファーストキス 1ST KISS,9,2025-03-26,19:00,21:00,False,平日,
S05094,M0019,(字幕)ウィキッド ふたりの魔女,9,2025-03-26,21:10,23:10,True,平日,
S05095,M0074,知らないカノジョ,10,2025-03-26,09:30,11:30,False,平日,
S05096,M0169,(字幕)白雪姫,10,2025-03-26,12:00,14:00,False,平日,
S05097,M0052,機動戦士Gundam GQuuuuuuX -Beginning-,10,2025-03-26,14:30,16:30,False,平日,
S05098,M0125,顔だけじゃ好きになりません,10,2025-03-26,17:00,19:00,False,平日,
S05099,M0065,この素晴らしい世界に祝福を！3 BONUS…,10,2025-03-26,19:00,21:00,False,平日,
S05100,M0065,この素晴らしい世界に祝福を！3 BONUS…,10,2025-03-26,21:10,23:10,True,平日,
S05101,M0065,この素晴らしい世界に祝福を！3 BONUS…,1,2025-03-27,09:30,11:30,False,平日,
S05102,M0045,(吹替)白雪姫,1,2025-03-27,12:00,14:00,False,平日,
S05103,M0045,(吹替)白雪姫,1,2025-03-27,14:30,16:30,False,平日,
S05104,M0027,劇場版『トリリオンゲーム』,1,2025-03-27,17:00,19:00,False,平日,
S05105,M0036,35年目のラブレター,1,2025-03-27,19:00,21:00,False,平日,
S05106,M0006,ヒプノシスマイク -Division Rap Battle-,1,2025-03-27,21:10,23:10,True,平日,
S05107,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-27,09:30,11:30,False,平日,
S05108,M0065,この素晴らしい世界に祝福を！3 BONUS…,2,2025-03-27,12:00,14:00,False,平日,
S05109,M0006,ヒプノシスマイク -Division Rap Battle-,2,2025-03-27,14:30,16:30,False,平日,
S05110,M0047,アンダーニンジャ,2,2025-03-27,17:00,19:00,False,平日,
S05111,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-27,19:00,21:00,False,平日,
S05112,M0042,(吹替)ウィキッド ふたりの魔女,2,2025-03-27,21:10,23:10,True,平日,
S05113,M0036,35年目のラブレター,3,2025-03-27,09:30,11:30,False,平日,
S05114,M0036,35年目のラブレター,3,2025-03-27,12:00,14:00,False,平日,
S05115,M0027,劇場版『トリリオンゲーム』,3,2025-03-27,14:30,16:30,False,平日,
S05116,M0048,お嬢と番犬くん,3,2025-03-27,17:00,19:00,False,平日,
S05117,M0060,映画『少年と犬』,3,2025-03-27,19:00,21:00,False,平日,
S05118,M0060,映画『少年と犬』,3,2025-03-27,21:10,23:10,True,平日,
S05119,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-27,09:30,11:30,False,平日,
S05120,M0019,(字幕)ウィキッド ふたりの魔女,4,2025-03-27,12:00,14:00,False,平日,
S05121,M0018,ファーストキス 1ST KISS,4,2025-03-27,14:30,16:30,False,平日,
S05122,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-27,17:00,19:00,False,平日,
S05123,M0018,ファーストキス 1ST KISS,4,2025-03-27,19:00,21:00,False,平日,
S05124,M0009,映画ドラえもん のび太の絵世界物語,4,2025-03-27,21:10,23:10,True,平日,
S05125,M0169,(字幕)白雪姫,5,2025-03-27,09:30,11:30,False,平日,
S05126,M0169,(字幕)白雪姫,5,2025-03-27,12:00,14:00,False,平日,
